id,watched_date,title,year,tmdb_id,rating,favorite,tags,medium,review
m001,2026-08-20,Parasite,2019,496243,9.0,True,korean|thriller|drama,cinema,"The tonal shifts work remarkably well, and the class tension keeps building without feeling forced."
m002,2026-08-17,Interstellar,2014,157336,9.5,True,sci-fi|space|drama,streaming,Huge in scale but the emotional core is what keeps bringing me back.
m003,2026-08-15,Dune: Part Two,2024,693134,9.0,True,sci-fi|epic|action,cinema,"The audiovisual experience is spectacular, while the political story feels much sharper than the first film."
m004,2026-08-12,The Social Network,2010,37799,8.5,False,drama|tech|biography,streaming,"A cold, energetic character study with a script that makes conversations feel like action scenes."
m005,2026-08-10,Whiplash,2014,244786,9.0,True,music|drama|psychological,streaming,The performances turn a simple teacher-student conflict into something intense and morally uncomfortable.
m006,2026-08-08,The Matrix,1999,603,8.5,True,sci-fi|action|cyberpunk,bluray,"Stylish action, memorable world-building, and a premise that remains fun to think about decades later."
m007,2026-08-05,Everything Everywhere All at Once,2022,545611,8.0,False,sci-fi|comedy|family,streaming,"Not every joke lands for me, but the film earns its emotional payoff by the end."
m008,2026-08-02,Blade Runner 2049,2017,335984,9.0,True,sci-fi|neo-noir|slow-burn,bluray,"Slow, atmospheric, and gorgeous; the kind of movie where the mood matters as much as the plot."
m009,2026-07-30,Arrival,2016,329865,9.0,True,sci-fi|drama|alien,streaming,I love how the central science-fiction idea is inseparable from the film's treatment of memory and time.
m010,2026-07-27,The Grand Budapest Hotel,2014,120467,8.0,False,comedy|adventure|wes-anderson,streaming,"The visual design is meticulous, but the melancholy underneath the comedy is what stayed with me."
m011,2026-07-24,Mad Max: Fury Road,2015,76341,8.5,True,action|post-apocalyptic|chase,cinema,"Extremely simple on paper, but the staging, editing, and visual storytelling make it feel almost effortless."
m012,2026-07-21,Her,2013,152601,8.5,True,romance|sci-fi|drama,streaming,A restrained look at intimacy and technology that feels more interesting now than when it was released.
m013,2026-07-18,Inception,2010,27205,8.0,False,sci-fi|thriller|heist,streaming,"The exposition is heavy, but the concept and set pieces are still immensely satisfying."
m014,2026-07-15,Spirited Away,2001,129,9.5,True,animation|fantasy|japanese,streaming,"The world is imaginative without over-explaining itself, and almost every scene contains a memorable detail."
m015,2026-07-12,The Dark Knight,2008,155,9.0,True,crime|action|superhero,bluray,"The scale is large, but the film works because its conflicts are grounded in clear character choices."
m016,2026-07-09,Pulp Fiction,1994,680,8.0,False,crime|comedy|nonlinear,streaming,"The structure keeps ordinary conversations entertaining, even when very little is happening on paper."
m017,2026-07-06,Fight Club,1999,550,7.5,False,drama|satire|psychological,streaming,"There is a lot I like in the filmmaking, though parts of the film work better for me as satire than drama."
m018,2026-07-03,La La Land,2016,313369,8.0,False,musical|romance|drama,cinema,"The music and production design are lovely, and the ending gives the romance much more weight."
m019,2026-06-29,The Godfather,1972,238,9.5,True,crime|drama|classic,streaming,Nearly every scene deepens the characters or the family dynamics; the pacing feels deliberate rather than slow.
m020,2026-06-25,The Shawshank Redemption,1994,278,8.5,False,drama|prison|classic,streaming,"Its emotional beats are familiar, but the execution is so confident that they still land."
